Institution,State,Institution Type,MSI,10yr Earnings Premium,Meets Threshold 1
Bellus Academy-Chula Vista,CA,2-Year,Non-MSI,23576,FALSE
Bethesda University,CA,4-year,Non-MSI,NA,NA
Biola University,CA,4-year,Non-MSI,56778,TRUE
Brownson Technical School,CA,Less-than-2-year,Non-MSI,68767,TRUE
Bryan University,AZ,4-year,Non-MSI,40283,FALSE
Butte College,CA,2-Year,HSI,41810,FALSE
California Institute of Integral Studies,CA,4-year,Non-MSI,48848,FALSE
Cabrillo College,CA,2-Year,HSI,44114,FALSE
California Baptist University,CA,4-year,HSI,61504,TRUE
California College of the Arts,CA,4-year,Non-MSI,49414,FALSE
University of California College of the Law-San Francisco,CA,4-year,Non-MSI,NA,NA
California Institute of Technology,CA,4-year,Non-MSI,128566,TRUE
California Lutheran University,CA,4-year,HSI,68712,TRUE
California Polytechnic State University-San Luis Obispo,CA,4-year,AANAPII,90768,TRUE
Alliant International University-San Diego,CA,4-year,Non-MSI,66666,TRUE
California State University-Bakersfield,CA,4-year,HSI,59009,TRUE
California State University-Stanislaus,CA,4-year,HSI,63188,TRUE
California State University-San Bernardino,CA,4-year,HSI,59977,TRUE
California State Polytechnic University-Pomona,CA,4-year,AANAPII,71902,TRUE
California State University-Chico,CA,4-year,HSI,64172,TRUE
California State University-Dominguez Hills,CA,4-year,HSI,57162,TRUE
California State University-Fresno,CA,4-year,AANAPII,61244,TRUE
California State University-Fullerton,CA,4-year,AANAPII,62951,TRUE
California State University-East Bay,CA,4-year,AANAPII,71401,TRUE
California State University-Long Beach,CA,4-year,AANAPII,64403,TRUE
California State University-Los Angeles,CA,4-year,AANAPII,59211,TRUE
California State University-Northridge,CA,4-year,HSI,59115,TRUE
California State University-Sacramento,CA,4-year,AANAPII,64876,TRUE
University of California-Berkeley,CA,4-year,AANAPII,92446,TRUE
University of California-Davis,CA,4-year,AANAPII,80838,TRUE
University of California-Irvine,CA,4-year,AANAPII,80735,TRUE
University of California-Los Angeles,CA,4-year,AANAPII,82511,TRUE
University of California-Riverside,CA,4-year,AANAPII,67699,TRUE
University of California-San Diego,CA,4-year,AANAPII,84943,TRUE
University of California-San Francisco,CA,4-year,Non-MSI,NA,NA
University of California-Santa Barbara,CA,4-year,AANAPII,74915,TRUE
University of California-Santa Cruz,CA,4-year,AANAPII,68396,TRUE
Sofia University,CA,4-year,Non-MSI,NA,NA
California Beauty School,CA,Less-than-2-year,Non-MSI,22255,FALSE
California Christian College,CA,4-year,Non-MSI,NA,NA
Haven University,CA,4-year,Non-MSI,NA,NA
California Hair Design Academy,CA,Less-than-2-year,Non-MSI,19347,FALSE
California Institute of the Arts,CA,4-year,Non-MSI,41198,FALSE
California State University Maritime Academy,CA,4-year,Non-MSI,94784,TRUE
California Western School of Law,CA,4-year,Non-MSI,NA,NA
Canada College,CA,2-Year,HSI,50087,FALSE
College of the Canyons,CA,2-Year,AANAPII,49022,FALSE
Career Academy of Beauty,CA,Less-than-2-year,Non-MSI,24410,FALSE
Casa Loma College-Los Angeles,CA,4-year,AANAPII,49854,FALSE
CET-San Diego,CA,Less-than-2-year,Non-MSI,32986,FALSE
CET-San Jose,CA,Less-than-2-year,Non-MSI,32986,FALSE
CET-El Centro,CA,Less-than-2-year,Non-MSI,32986,FALSE
CET-Colton,CA,Less-than-2-year,Non-MSI,32986,FALSE
CET-Watsonville,CA,Less-than-2-year,Non-MSI,32986,FALSE
CET-Salinas,CA,Less-than-2-year,Non-MSI,32986,FALSE
Cerritos College,CA,2-Year,Non-MSI,41156,FALSE
Cerro Coso Community College,CA,2-Year,HSI,34963,FALSE
Chabot College,CA,2-Year,AANAPII,48143,FALSE
Chaffey College,CA,2-Year,HSI,42975,FALSE
Chapman University,CA,4-year,Non-MSI,70070,TRUE
Charles R Drew University of Medicine and Science,CA,4-year,Non-MSI,83438,TRUE
Concordia University-Irvine,CA,4-year,AANAPII,65083,TRUE
San Diego Christian College,CA,4-year,Non-MSI,49766,FALSE
Church Divinity School of the Pacific,CA,4-year,Non-MSI,NA,NA
