INSTNM,CITY,STATE,ZIP,ACCREDAGENCY,Modified_PEP_ROI,Original_PEP_ROI,PCTPELL,MSI_TYPE
Esteem Academy of Beauty,South Ogden,UT,84403-4374,National Accrediting Commission of Career Arts and Sciences,-0.7850666899136954,-1.2737771361945478,0.2407,Non-MSI
Zion Massage College,St. George,UT,84770-8819,Commission on Massage Therapy Accreditation,-0.47612879348630643,-2.1002720559657986,0.369,Non-MSI
Paul Mitchell the School-Provo,Provo,UT,84606-3424,National Accrediting Commission of Career Arts and Sciences,-0.1640745672436751,-6.094789806849537,0.4079,Non-MSI
Arizona College of Nursing-Salt Lake City,Murray,UT,84123-2790,Accrediting Bureau of Health Education Schools,-0.08370450274897348,-11.946788609436709,0.5591,Non-MSI
Columbia College - Salt Lake,Murray,UT,841075322,Higher Learning Commission,,,,Non-MSI
Snow College-Richfield Campus,Richfield,UT,84701,Northwest Commission on Colleges and Universities,,,,Non-MSI
Utah County Campus,Orem,UT,840580000,National Accrediting Commission of Career Arts and Sciences,,,,Non-MSI
Rocky Vista University - Southern Utah,Ivins,UT,847386756,Higher Learning Commission,,,,Non-MSI
Bennington College,Bennington,VT,05201-6003,New England Commission on Higher Education,0.02175445664215933,45.967592592592595,0.2153,Non-MSI
Castleton University,Castleton,VT,05735,New England Commission on Higher Education,0.07630693977376948,13.104967948717949,0.333,Non-MSI
Champlain College,Burlington,VT,05401,New England Commission on Higher Education,0.14321368048066555,6.982573149741824,0.2188,Non-MSI
Community College of Vermont,Montpelier,VT,05602,New England Commission on Higher Education,-0.10550647215944113,-9.478091528724441,0.3092,Non-MSI
Goddard College,Plainfield,VT,05667-9432,,0.041563434429730886,24.059609455292907,0.6233,Non-MSI
Northern Vermont University,Johnson,VT,05656-9464,New England Commission on Higher Education,-0.0035733919736118747,-279.84615384615387,0.3805,Non-MSI
Middlebury College,Middlebury,VT,05753,New England Commission on Higher Education,0.3582688108000794,2.7912002659869226,0.1487,Non-MSI
Norwich University,Northfield,VT,05663-1035,New England Commission on Higher Education,0.23056265430761902,4.3372158557204585,0.2401,Non-MSI
O'Briens Aveda Institute,Williston,VT,05495,National Accrediting Commission of Career Arts and Sciences,-0.1278958300047931,-7.818863210493442,0.4393,Non-MSI
Saint Michael's College,Colchester,VT,05439,New England Commission on Higher Education,0.21652488972904851,4.618406693343034,0.1949,Non-MSI
SIT Graduate Institute,Brattleboro,VT,05302-0676,New England Commission on Higher Education,,,,Non-MSI
Sterling College,Craftsbury Common,VT,05827-0072,New England Commission on Higher Education,-0.46431535269709545,-2.1537086684539766,0.373,Non-MSI
Vermont Law and Graduate School,South Royalton,VT,05068-0096,New England Commission on Higher Education,,,,Non-MSI
Vermont State University,Randolph,VT,05061,New England Commission on Higher Education,0.13789145761600263,7.252080856123662,0.2832,Non-MSI
University of Vermont,Burlington,VT,05405-0160,New England Commission on Higher Education,0.23313296465496514,4.289397689768977,0.137,Non-MSI
Landmark College,Putney,VT,05346,New England Commission on Higher Education,-0.024142251349267542,-41.421157684630735,0.1436,Non-MSI
Vermont College of Fine Arts,Montpelier,VT,05602,New England Commission on Higher Education,,,,Non-MSI
Advanced Welding Institute,South Burlington,VT,05403,Accrediting Commission of Career Schools and Colleges,-0.46292274278622403,-2.1601876675603218,0.3208,Non-MSI
Northern Vermont University - Lyndon,Lyndonvile,VT,05851-0000,New England Commission on Higher Education,,,,Non-MSI
